Format Version,1.21,Take Name,Take 2020-08-25 04.42.30 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2020-08-25 04.42.30 PM,Total Frames in Take,27713,Total Exported Frames,27713,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
75,0.625000,0.083088,0.003762,-0.069782,0.092884,0.244055,0.013618
76,0.633333,0.083085,0.003758,-0.069749,0.092885,0.244046,0.013631
77,0.641667,0.083087,0.003757,-0.069773,0.092889,0.244047,0.013627
78,0.650000,0.083093,0.003764,-0.069766,0.092891,0.244050,0.013635
79,0.658333,0.083089,0.003765,-0.069777,0.092890,0.244059,0.013621
80,0.666667,0.083092,0.003761,-0.069762,0.092891,0.244054,0.013621
81,0.675000,0.083092,0.003756,-0.069778,0.092887,0.244043,0.013632
82,0.683333,0.083084,0.003758,-0.069769,0.092885,0.244050,0.013623
83,0.691667,0.083089,0.003764,-0.069773,0.092887,0.244054,0.013628
84,0.700000,0.083090,0.003763,-0.069768,0.092885,0.244056,0.013625
85,0.708333,0.083086,0.003763,-0.069764,0.092881,0.244051,0.013630
86,0.716667,0.083091,0.003758,-0.069771,0.092890,0.244046,0.013629
87,0.725000,0.083089,0.003756,-0.069770,0.092892,0.244049,0.013618
88,0.733333,0.083087,0.003764,-0.069769,0.092889,0.244057,0.013621
89,0.741667,0.083090,0.003768,-0.069753,0.092886,0.244056,0.013632
90,0.750000,0.083089,0.003761,-0.069768,0.092887,0.244050,0.013632
91,0.758333,0.083086,0.003756,-0.069772,0.092883,0.244049,0.013620
92,0.766667,0.083088,0.003756,-0.069775,0.092886,0.244044,0.013635
93,0.775000,0.083090,0.003761,-0.069757,0.092888,0.244050,0.013631
94,0.783333,0.083087,0.003768,-0.069771,0.092889,0.244060,0.013623
95,0.791667,0.083093,0.003763,-0.069765,0.092891,0.244052,0.013629
96,0.800000,0.083088,0.003756,-0.069770,0.092889,0.244045,0.013634
97,0.808333,0.083087,0.003755,-0.069771,0.092886,0.244047,0.013626
98,0.816667,0.083088,0.003761,-0.069774,0.092886,0.244052,0.013626
99,0.825000,0.083090,0.003766,-0.069767,0.092885,0.244054,0.013634
100,0.833333,0.083089,0.003763,-0.069776,0.092885,0.244058,0.013622
101,0.841667,0.083085,0.003754,-0.069769,0.092886,0.244048,0.013621
102,0.850000,0.083089,0.003756,-0.069783,0.092889,0.244048,0.013624
103,0.858333,0.083094,0.003763,-0.069762,0.092891,0.244056,0.013621
104,0.866667,0.083086,0.003766,-0.069779,0.092886,0.244060,0.013623
105,0.875000,0.083092,0.003754,-0.069784,0.092889,0.244049,0.013622
106,0.883333,0.083092,0.003754,-0.069784,0.092889,0.244049,0.013622
107,0.891667,0.083080,0.003760,-0.069777,0.092879,0.244053,0.013625
108,0.900000,0.083092,0.003764,-0.069758,0.092888,0.244054,0.013629
109,0.908333,0.083085,0.003762,-0.069762,0.092886,0.244053,0.013630
110,0.916667,0.083085,0.003762,-0.069762,0.092886,0.244053,0.013630
111,0.925000,0.083091,0.003764,-0.069764,0.092894,0.244050,0.013645
112,0.933333,0.083094,0.003757,-0.069765,0.092894,0.244051,0.013620
113,0.941667,0.083085,0.003757,-0.069790,0.092881,0.244051,0.013622
114,0.950000,0.083089,0.003759,-0.069755,0.092886,0.244048,0.013642
115,0.958333,0.083092,0.003759,-0.069772,0.092895,0.244048,0.013637
116,0.966667,0.083085,0.003762,-0.069777,0.092882,0.244055,0.013625
117,0.975000,0.083088,0.003764,-0.069764,0.092882,0.244047,0.013648
118,0.983333,0.083089,0.003757,-0.069780,0.092890,0.244053,0.013615
119,0.991667,0.083089,0.003757,-0.069780,0.092890,0.244053,0.013615
120,1.000000,0.083087,0.003760,-0.069760,0.092889,0.244050,0.013632
121,1.008333,0.083092,0.003760,-0.069762,0.092893,0.244045,0.013650
122,1.016667,0.083091,0.003767,-0.069783,0.092887,0.244063,0.013616
123,1.025000,0.083085,0.003762,-0.069766,0.092882,0.244057,0.013623
124,1.033333,0.083087,0.003751,-0.069747,0.092886,0.244035,0.013647
125,1.041667,0.083090,0.003755,-0.069782,0.092889,0.244045,0.013632
126,1.050000,0.083089,0.003767,-0.069774,0.092885,0.244059,0.013626
127,1.058333,0.083091,0.003766,-0.069746,0.092888,0.244050,0.013645
128,1.066667,0.083092,0.003755,-0.069768,0.092893,0.244051,0.013617
129,1.075000,0.083089,0.003755,-0.069782,0.092891,0.244045,0.013629
130,1.083333,0.083091,0.003758,-0.069750,0.092889,0.244041,0.013654
131,1.091667,0.083091,0.003764,-0.069762,0.092889,0.244056,0.013630
132,1.100000,0.083090,0.003764,-0.069787,0.092886,0.244065,0.013607
133,1.108333,0.083091,0.003754,-0.069748,0.092885,0.244034,0.013664
134,1.116667,0.083088,0.003753,-0.069749,0.092889,0.244043,0.013638
135,1.125000,0.083092,0.003763,-0.069789,0.092890,0.244061,0.013608
136,1.133333,0.083088,0.003762,-0.069748,0.092887,0.244047,0.013643
137,1.141667,0.083104,0.003760,-0.069768,0.092893,0.244041,0.013654
138,1.150000,0.083078,0.003761,-0.069743,0.092887,0.244056,0.013618
139,1.158333,0.083093,0.003753,-0.069796,0.092897,0.244044,0.013624
140,1.166667,0.083111,0.003748,-0.069723,0.092895,0.244035,0.013644
141,1.175000,0.083054,0.003766,-0.069769,0.092865,0.244060,0.013621
142,1.183333,0.083102,0.003783,-0.069756,0.092902,0.244052,0.013681
143,1.191667,0.083122,0.003740,-0.069740,0.092905,0.244025,0.013651
144,1.200000,0.083037,0.003738,-0.069790,0.092849,0.244038,0.013607
145,1.208333,0.083110,0.003782,-0.069725,0.092909,0.244042,0.013701
146,1.216667,0.083119,0.003760,-0.069769,0.092916,0.244044,0.013649
147,1.225000,0.083052,0.003766,-0.069762,0.092851,0.244070,0.013592
148,1.233333,0.083104,0.003757,-0.069741,0.092898,0.244031,0.013674
149,1.241667,0.083116,0.003726,-0.069735,0.092918,0.243994,0.013688
150,1.250000,0.083055,0.003791,-0.069771,0.092860,0.244085,0.013616
151,1.258333,0.083102,0.003788,-0.069739,0.092888,0.244076,0.013632
152,1.266667,0.083115,0.003699,-0.069770,0.092911,0.243995,0.013625
153,1.275000,0.083070,0.003757,-0.069747,0.092868,0.244034,0.013670
154,1.283333,0.083086,0.003807,-0.069742,0.092890,0.244084,0.013663
155,1.291667,0.083110,0.003745,-0.069744,0.092923,0.244047,0.013597
156,1.300000,0.083088,0.003760,-0.069816,0.092871,0.244060,0.013601
157,1.308333,0.083073,0.003773,-0.069711,0.092858,0.244030,0.013722
158,1.316667,0.083099,0.003728,-0.069690,0.092920,0.244001,0.013677
159,1.325000,0.083098,0.003754,-0.069851,0.092901,0.244085,0.013519
160,1.333333,0.083075,0.003783,-0.069791,0.092860,0.244069,0.013638
161,1.341667,0.083102,0.003762,-0.069629,0.092903,0.243997,0.013771
162,1.350000,0.083107,0.003759,-0.069794,0.092932,0.244084,0.013538
163,1.358333,,,,,,
164,1.366667,0.083084,0.003742,-0.069667,0.092876,0.243980,0.013764
165,1.375000,0.083096,0.003781,-0.069814,0.092897,0.244119,0.013523
166,1.383333,0.083096,0.003781,-0.069814,0.092897,0.244119,0.013523
167,1.391667,0.083079,0.003750,-0.069672,0.092861,0.244007,0.013731
168,1.400000,0.083085,0.003734,-0.069742,0.092883,0.244005,0.013683
169,1.408333,0.083103,0.003756,-0.069863,0.092909,0.244074,0.013547
170,1.416667,0.083089,0.003788,-0.069678,0.092889,0.244057,0.013676
171,1.425000,0.083093,0.003782,-0.069701,0.092897,0.244054,0.013675
172,1.433333,0.083117,0.003739,-0.069865,0.092918,0.244057,0.013564
173,1.441667,0.083086,0.003726,-0.069730,0.092885,0.244000,0.013674
174,1.450000,0.083069,0.003760,-0.069653,0.092867,0.244017,0.013710
175,1.458333,0.083096,0.003794,-0.069845,0.092891,0.244116,0.013545
176,1.466667,0.083103,0.003770,-0.069777,0.092885,0.244061,0.013632
177,1.475000,0.083077,0.003736,-0.069666,0.092866,0.243979,0.013758
178,1.483333,0.083096,0.003751,-0.069786,0.092910,0.244050,0.013600
179,1.491667,0.083107,0.003767,-0.069827,0.092925,0.244079,0.013559
180,1.500000,0.083090,0.003767,-0.069705,0.092877,0.244022,0.013708
181,1.508333,0.083085,0.003784,-0.069741,0.092876,0.244059,0.013666
182,1.516667,0.083108,0.003768,-0.069803,0.092912,0.244077,0.013585
183,1.525000,0.083085,0.003720,-0.069716,0.092874,0.243998,0.013672
184,1.533333,0.083066,0.003740,-0.069757,0.092845,0.244010,0.013676
185,1.541667,0.083107,0.003787,-0.069825,0.092902,0.244083,0.013604
186,1.550000,0.083113,0.003785,-0.069719,0.092926,0.244062,0.013654
187,1.558333,0.083090,0.003765,-0.069723,0.092897,0.244047,0.013656
188,1.566667,0.083103,0.003733,-0.069785,0.092909,0.244029,0.013614
189,1.575000,0.083101,0.003733,-0.069792,0.092906,0.244019,0.013629
190,1.583333,0.083075,0.003789,-0.069730,0.092863,0.244068,0.013654
191,1.591667,0.083085,0.003786,-0.069763,0.092866,0.244084,0.013613
192,1.600000,0.083099,0.003736,-0.069771,0.092892,0.244030,0.013638
193,1.608333,0.083092,0.003747,-0.069764,0.092884,0.244016,0.013688
194,1.616667,0.083086,0.003769,-0.069745,0.092888,0.244060,0.013613
195,1.625000,0.083102,0.003761,-0.069783,0.092921,0.244070,0.013562
196,1.633333,0.083118,0.003766,-0.069773,0.092920,0.244044,0.013656
197,1.641667,0.083091,0.003761,-0.069727,0.092882,0.244031,0.013692
198,1.650000,0.083082,0.003749,-0.069746,0.092886,0.244042,0.013627
199,1.658333,0.083070,0.003759,-0.069769,0.092846,0.244035,0.013656
200,1.666667,0.083070,0.003759,-0.069769,0.092846,0.244035,0.013656
201,1.675000,0.083073,0.003773,-0.069714,0.092865,0.244037,0.013696
202,1.683333,0.083119,0.003778,-0.069767,0.092932,0.244078,0.013611
203,1.691667,0.083096,0.003750,-0.069759,0.092912,0.244052,0.013593
204,1.700000,0.083075,0.003739,-0.069723,0.092874,0.244006,0.013669
205,1.708333,0.083106,0.003764,-0.069761,0.092905,0.244035,0.013660
206,1.716667,0.083089,0.003776,-0.069770,0.092898,0.244084,0.013583
207,1.725000,0.083072,0.003769,-0.069714,0.092858,0.244045,0.013677
208,1.733333,0.083093,0.003750,-0.069739,0.092871,0.244019,0.013691
209,1.741667,0.083089,0.003746,-0.069781,0.092887,0.244039,0.013615
210,1.750000,,,,,,
211,1.758333,0.083099,0.003767,-0.069738,0.092905,0.244047,0.013650
212,1.766667,0.083107,0.003763,-0.069768,0.092919,0.244041,0.013657
213,1.775000,0.083095,0.003766,-0.069751,0.092896,0.244054,0.013639
214,1.783333,0.083081,0.003757,-0.069735,0.092875,0.244044,0.013634
215,1.791667,0.083079,0.003748,-0.069772,0.092872,0.244044,0.013606
216,1.800000,0.083085,0.003758,-0.069774,0.092874,0.244046,0.013639
217,1.808333,0.083087,0.003773,-0.069712,0.092882,0.244046,0.013679
218,1.816667,0.083096,0.003765,-0.069738,0.092902,0.244060,0.013625
219,1.825000,0.083102,0.003755,-0.069795,0.092911,0.244060,0.013584
220,1.833333,0.083091,0.003751,-0.069755,0.092895,0.244027,0.013655
221,1.841667,0.083089,0.003754,-0.069739,0.092891,0.244034,0.013653
222,1.850000,0.083097,0.003767,-0.069779,0.092897,0.244074,0.013599
223,1.858333,0.083085,0.003773,-0.069756,0.092876,0.244057,0.013648
224,1.866667,0.083076,0.003757,-0.069731,0.092861,0.244025,0.013692
225,1.875000,0.083088,0.003748,-0.069781,0.092883,0.244045,0.013608
226,1.883333,0.083091,0.003758,-0.069773,0.092897,0.244059,0.013603
227,1.891667,0.083094,0.003769,-0.069717,0.092901,0.244035,0.013692
228,1.900000,0.083104,0.003766,-0.069768,0.092905,0.244044,0.013661
229,1.908333,0.083096,0.003759,-0.069788,0.092896,0.244060,0.013600
230,1.916667,0.083080,0.003753,-0.069745,0.092876,0.244038,0.013642
231,1.925000,0.083083,0.003747,-0.069750,0.092875,0.244032,0.013653
232,1.933333,0.083090,0.003759,-0.069783,0.092882,0.244056,0.013628
233,1.941667,0.083091,0.003778,-0.069741,0.092884,0.244061,0.013657
234,1.950000,0.083091,0.003768,-0.069742,0.092893,0.244056,0.013637
235,1.958333,,,,,,
236,1.966667,0.083092,0.003742,-0.069768,0.092894,0.244026,0.013644
237,1.975000,0.083091,0.003766,-0.069738,0.092890,0.244043,0.013671
