Format Version,1.21,Take Name,Take 2021-04-13 07.22.24 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-04-13 07.22.24 PM,Total Frames in Take,22555,Total Exported Frames,22555,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001,Unlabeled:5002,Unlabeled:5002,Unlabeled:5002,Unlabeled:5003,Unlabeled:5003,Unlabeled:5003
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E3570138A","8392B20CF49E3570138A","8392B20CF49E3570138A","8392B20CF49E3570138B","8392B20CF49E3570138B","8392B20CF49E3570138B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
37,0.308333,0.039983,-0.001606,0.037899,0.078193,-0.052817,0.044369,0.086152,-0.026878,0.002550,0.030859,-0.061239,0.060459
38,0.316667,0.039986,-0.001606,0.037878,0.078188,-0.052823,0.044390,0.086153,-0.026880,0.002540,0.030860,-0.061242,0.060467
39,0.325000,0.039989,-0.001605,0.037858,0.078193,-0.052817,0.044362,0.086148,-0.026880,0.002561,0.030862,-0.061237,0.060452
40,0.333333,0.039984,-0.001604,0.037869,0.078192,-0.052815,0.044366,0.086150,-0.026881,0.002552,0.030871,-0.061231,0.060320
41,0.341667,0.039985,-0.001603,0.037862,0.078188,-0.052822,0.044382,0.086149,-0.026881,0.002549,0.030863,-0.061239,0.060451
42,0.350000,0.039986,-0.001602,0.037877,0.078190,-0.052819,0.044375,0.086153,-0.026877,0.002531,0.030860,-0.061237,0.060467
43,0.358333,0.039982,-0.001604,0.037894,0.078191,-0.052819,0.044363,0.086147,-0.026881,0.002570,0.030860,-0.061237,0.060464
44,0.366667,0.039985,-0.001607,0.037887,0.078193,-0.052822,0.044376,0.086152,-0.026879,0.002538,0.030859,-0.061239,0.060477
45,0.375000,0.039985,-0.001607,0.037887,0.078193,-0.052822,0.044376,0.086152,-0.026879,0.002538,0.030859,-0.061239,0.060477
46,0.383333,0.039987,-0.001602,0.037861,0.078188,-0.052817,0.044391,0.086155,-0.026878,0.002529,0.030860,-0.061237,0.060469
47,0.391667,0.039984,-0.001602,0.037869,0.078191,-0.052818,0.044374,0.086155,-0.026879,0.002524,0.030861,-0.061236,0.060460
48,0.400000,0.039983,-0.001605,0.037876,0.078186,-0.052817,0.044386,0.086150,-0.026878,0.002547,0.030858,-0.061236,0.060484
49,0.408333,0.039986,-0.001603,0.037884,0.078189,-0.052817,0.044393,0.086155,-0.026877,0.002531,0.030859,-0.061237,0.060483
50,0.416667,0.039983,-0.001608,0.037889,0.078192,-0.052821,0.044371,0.086154,-0.026880,0.002524,0.030862,-0.061238,0.060464
51,0.425000,0.039984,-0.001602,0.037869,0.078186,-0.052820,0.044403,0.086147,-0.026881,0.002571,0.030859,-0.061235,0.060472
52,0.433333,0.039985,-0.001605,0.037888,0.078190,-0.052820,0.044372,0.086154,-0.026877,0.002528,0.030861,-0.061236,0.060469
53,0.441667,0.039984,-0.001606,0.037879,0.078190,-0.052817,0.044377,0.086151,-0.026878,0.002548,0.030851,-0.061229,0.060425
54,0.450000,0.039985,-0.001601,0.037873,0.078189,-0.052818,0.044397,0.086148,-0.026878,0.002565,0.030860,-0.061235,0.060457
55,0.458333,0.039986,-0.001602,0.037866,0.078190,-0.052819,0.044378,0.086149,-0.026880,0.002550,0.030877,-0.061238,0.060382
56,0.466667,0.039986,-0.001607,0.037893,0.078188,-0.052818,0.044372,0.086152,-0.026880,0.002544,0.030854,-0.061227,0.060403
57,0.475000,0.039985,-0.001602,0.037872,0.078183,-0.052819,0.044402,0.086152,-0.026879,0.002525,0.030861,-0.061238,0.060459
58,0.483333,0.039985,-0.001602,0.037872,0.078183,-0.052819,0.044402,0.086152,-0.026879,0.002525,0.030861,-0.061238,0.060459
59,0.491667,0.039984,-0.001604,0.037887,0.078192,-0.052817,0.044371,0.086146,-0.026880,0.002568,0.030857,-0.061235,0.060478
60,0.500000,0.039987,-0.001604,0.037875,0.078188,-0.052821,0.044373,0.086150,-0.026880,0.002537,0.030854,-0.061240,0.060484
61,0.508333,0.039987,-0.001605,0.037883,0.078191,-0.052818,0.044369,0.086150,-0.026876,0.002552,0.030864,-0.061236,0.060440
62,0.516667,0.039985,-0.001605,0.037883,0.078196,-0.052817,0.044361,0.086145,-0.026881,0.002571,0.030852,-0.061229,0.060389
63,0.525000,0.039985,-0.001605,0.037883,0.078196,-0.052817,0.044361,0.086145,-0.026881,0.002571,0.030852,-0.061229,0.060389
